TITLE,LIKES,SHARES
A man who is alleged to have killed his wife in a jealous rage in Boeung Kak I commune of the capital’s Tuol Kork district on May 27 will be sent to the Phnom Penh Municipal Court.,24,0
"The rezoning will allow restricted use of the land for the 1,658 households in Pursat province that rely on it.",10,0
"Kong Vong – which translates to “sustainable” in English – is an eco-friendly products business founded by two students, Sam Hengsopheavan and Hok Chanboramey, at the end of 2020.",7,1
"As most people are aware, the Kingdom has very strict laws on the depiction of nudity when it’s done for prurient reasons, such as making pornography.",23,2
Phare Ponleu Selpak Cambodian Circus have announced the return of the Tini Tinou Circus Festival later this year after they had to cancel it when it was last scheduled to take place in 2020.,19,1
No new Covid cases in Cambodia,18,2
"Born and raised in Seattle, American artist Lauren Iida has been living in the Kingdom off and on for the past 13 years and making significant contributions to Cambodia’s contemporary arts scene, which includes founding the artist’s collective Open Studio Cambodia – an organisation that helps mentor and support local artists – in 2018.",49,1
The National Election Committee (NEC) announced that it will hold a stakeholder meeting on June 3 at 4pm to wrap up the campaign season for the June 5 commune council elections.,5,1
A five-month UK government-backed social-media campaign has been launched to arm Cambodians with energy efficiency knowledge and chip in to the climate change battle.,9,1
"Prime Minister Hun Sen on May 27 issued a sub-decree to downgrade more than 34sq km of land in Zone 3 of the protected area surrounding Tonle Sap Lake to Zone 2, which will allow restricted use for the 1,658 households in Pursat province that rely on it.",12,0
[Post Focus] Krama NFT Marketplace makes history with sale of first Cambodian digital art,36,11
"The Ministry of Health, National Commission for Combating Covid-19 (“NCCC”) and commission in charge of medical drug supply have authorised and arranged for the import of Pfizer’s Paxlovid pill to treat Covid-19 in patients aged 12 years and older.",3,0
Biannual deadlines imposed for labour inspection self-declaration,12,2
"Cambodian foreign minister and ASEAN special envoy on Myanmar Prak Sokhonn on May 27 announced plans for a second trip to the bloc’s strife-torn westernmost country next month, voicing optimism that there would be positive outcomes.",10,1
"Agriculture minister Veng Sakhon and Asian Development Bank (ADB) executive director Anthony McDonald on May 27 discussed the needs of some development projects in the agricultural sector in which the Metro Manila-based multilateral lender could potentially provide financial support, according to a post on Sakhon’s official Facebook page.",16,3
The Ministry of Health on May 28 reported zero new Covid-19 cases and no new deaths.,5,0
"Ministry of Health spokeswoman Or Vandine said monkeypox could be deadly because the lesions can progress to cover a patient completely, leading to complications affecting the organs in the human body.",19,3
Prime Minister Hun Sen on May 27 indicated that he would only accept criticism of his aspirations to have his eldest son succeed him should Lieutenant General Hun Manet assume power directly without an election.,24,3
"In a recent interview with The Post, Baderneh talked about UNIDO’s latest mission in Cambodia and past achievements including its cooperation with line ministries in Cambodia.",5,0
"Amid this rainy season, the Ministry of Water Resources and Meteorology is focusing on water management in major reservoirs to avoid flooding and to meet the needs of the public, and to avoid shortages either when the dry season arrives or should the weather change.",12,0
"The National Election Committee (NEC) has extended the deadline for applications for national monitors of the June 5 commune council elections by three days to 5:30pm on May 28, following requests numerous organisations, its chief affirmed on May 26.",5,0
"A 39-year-old motor-taxi driver, Chan Samoeun, his wife and three children have been receiving 200,000 riel every month from the government as part of the nationwide Cash Transfer Programme, which seeks to alleviate the impacts of reduced income on households as a result of the Covid-19 crisis.",2,0
"The Ministry of Interior will begin administering the fourth dose of Covid-19 vaccine to officials, retirees and their families starting May 30.",10,0
"Cambodia, this year’s ASEAN chair, with the support of other countries in the bloc, will endeavour to assume a more active role in building a “brighter future” for the Asian continent and the rest of the world, according to Prime Minister Hun Sen.",20,0
Securities and Exchange Regulator of Cambodia (SERC) director-general Sou Socheat has urged the private sector to consider issuing green bonds to build the green business ecosystem and investment community in the Kingdom.,13,0
The Ministry of Economy and Finance has encouraged the Urban Planning Design Institute of Shenzhen (UPDIS) to accelerate its preparation of a master plan to develop Preah Sihanouk province into a Model Multi-Purpose Special Economic Zone (SEZ).,39,3
"The Ministry of Agriculture, Forestry and Fisheries launched its online National Single Window (NSW) on May 26, a move which has been met with scepticism from key private sector players who have expressed doubts about the usability of the new digital system.",6,0
"The Ministry of Rural Development plans to build concrete bridges and more than 400km of rural roads in seven provinces: Tbong Khmum, Banteay Meanchey, Battambang, Siem Reap, Pursat, Kampong Speu and Kampong Chhnang.",43,3
"The Phnom Penh Municipal Court of Appeal on May 26 delivered a verdict in the case of National Heart Party founder Siem Phluk, upholding the lower court’s decision not to release him on bail.",6,0
"Officials from the Cambodia Boxing Federation (CBF) on May 25 considered the one silver and three bronze medals they recently brought home from the 31st SEA Games in Vietnam as a success, in line with the goals set by the federation.",22,0
"EU-ASEAN Business Council executive director Chris Humphrey on May 26 praised the Cambodian government for its effective control of the Covid-19 pandemic, which he credited for the full resumption of social life in the Kingdom, according to the health ministry.",4,0
[Advertorial] Westview Cambodian International School awards American Math Competition medals,10,1
"The Cambodia Chamber of Commerce (CCC) is set to open a representative office in Toronto, Canada on May 27 – its first-ever international outpost – to serve as a central information hub to encourage foreign investment and stimulate trade between the two countries.",47,8
[Sponsored] $20 million ONiON Mobility electric assembly plant powers up,120,16
"Prime Minister Hun Sen on May 27 refuted accusations regarding China’s intent to entrap Cambodia in sovereign debt commitments, underscoring that the Kingdom borrows money from other countries and “cannot fall into anyone’s debt trap”.",12,0
[Advertorial] Cambodian Public Bank celebrates 30th anniversary of operations in the Kingdom,10,0
"The interior minister on May 26 received a four-member delegation led by the EU ambassador to discuss the general situation surrounding the June 5 commune council elections and ongoing campaign season, according to his ministry.",3,0
"Cambodia and Vietnam have agreed to open more direct flights between the two countries, with special emphasis on connecting tourist hotspots and jumpstarting travel again.",63,7
"Prime Minister Hun Sen has instructed authorities in six provinces to re-evaluate protected area zoning in the flooded forests surrounding the Tonle Sap Lake, to ensure that long-time residents of local communities would not be required to relocate.",3,0
"The National Centre for Peacekeeping Forces (NPMEC) on May 26 commemorated the International Day of UN Peacekeepers, in recognition of their service and sacrifice and to honour the memory of those who had lost their lives in the course of peacekeeping.",17,1
Election officials and government spokespersons have said that the lack of UN assistance with the upcoming commune council elections will “not affect the credibility” of the poll results.,8,0
The Ministry of Labour and Vocational Training announced that five more of the nearly 400 former NagaWorld employees who were laid off had willingly accepted severance pay.,18,1
"Lawyers are expressing satisfaction with improved conditions for legal consultations with incarcerated clients at prisons and correctional centres across the country, thanks to the 26 recently constructed lawyer-inmate meeting rooms at those facilities.",3,0
The Kampong Cham provincial election commission has set up a working group to investigate allegations levelled by the ruling Cambodian People’s Party (CPP) against 15 Candlelight Party candidates in 11 communes of Kang Meas district.,5,0
The government has instructed local government working groups at all levels to support sub-national authorities in mobilising people to get their third Covid-19 vaccine dose to protect themselves from the deadly disease.,4,0
No new Covid cases in Cambodia,13,0
Koh Kong provincial authorities have chosen four key locations where they will erect billboards explaining the idea of “Plastic-free Zones” to educate the public on the prevention and reduction of plastic use.,5,0
Battambang provincial traffic police are searching for the driver of a pick-up truck which killed four people in a hit-and-run in Ta Krei commune’s Tuol Til village of Battambang province’s Kamrieng district on May 24.,16,0
The Ministry of Public Works and Transport has been organising a second workshop to share knowledge on capacity building and institutional strengthening to develop a framework for monitoring and evaluation of the logistics sector and logistics data in Cambodia and in the context of Cambodia-Laos-Vietnam cooperative efforts.,17,1
"Premier, UN envoy hash over efforts on Myanmar",2,4
The Cambodian delegation of Disciples Escoffier International Asia Pacific is set to host an international competition for young chefs and waiters under 25 years of age in the capital on June 18-19.,40,3
"In Opinion:
Could the conflict in Ukraine imperil the wisdom of nuclear deterrence?",5,0
"Prime Minister Hun Sen has said that Cambodia and other ASEAN member states will work together to improve ASEAN-EU relations ahead of the two blocs commemorating their 45th anniversary in Brussels, Belgium, in December.",7,0
"Officers at border checkpoints have been asked to conduct proper health checks and monitor arrivals from 11 African nations, although there is no order to ban travellers including those from countries with suspected cases of monkeypox.",17,2
"Concerned about the impact on public health, the Ministry of Health on May 24 called on people to stop buying online health supplements which can be fake or of inferior quality.",14,0
JU-JITSU star Jessa Khan has vowed to come back stronger and is fully committed to proving herself next year – when Cambodia will host the historic Southeast Asian Games (SEA Games) for the first time – after missing out on qualifying for the 48kg Ju-Jitsu event in Vietnam.,52,2
"The Ministry of Environment, in collaboration with UNESCO, organised a three-day workshop from May 23-25, aimed at assisting its officials and stakeholders to prepare Cambodia’s tentative World Heritage list.",9,2
"Chinese company “Jiangsu General Science Technology Co Ltd” has invested nearly $300 million to build the largest tyre factory in the Sihanoukville Special Economic Zone (SSEZ), according to Beijing’s embassy in Phnom Penh.",42,6
"Cambodia has urged international development partners to cooperate with less developed countries (LDCs) in using UN-integrated national financing initiatives, a tool to spur nations’ sustainable development, in order to improve the green use of local resources.",12,0
"At his 41st hearing, former opposition leader Kem Sokha answered questions from his defence team and offered evidence that they hoped would exonerate him in this treason case.",4,0
"The Phnom Penh Municipal Court on May 25 placed three Chinese men in pre-trial detention for drug trafficking, while a Cambodian man in Banteay Meanchey province was also remanded in custody on the same charge in a separate case.",14,0
"Prime Minister Hun Sen has expressed satisfaction at the absence of violence during the first weeks of the commune council election campaign, which kicked off on May 19 and set to continue until June 3.",4,0
A new business association representing Cambodian and Chinese businessmen has been established to drive more investment in small- and medium-sized enterprises enterprises (SME) as well as encourage start-ups to take advantage of free trade agreements (FTA).,46,5
[Advertorial] Price of gold holds firm despite volatility,10,1
"Farmers in Banteay Meanchey province have stepped up efforts to plant and sow rice, despite their rice being damaged by floods at the beginning of the rainy season.",9,0
"Swedish businessmen and investors are urged to seize big opportunities to invest in Cambodia, said Ministry of Commerce secretary of state Ok Bung, while prodding them to increase imports of agricultural and manufactured products.",8,1
"The Phnom Penh municipal Department of Social Affairs, Veterans and Youth Rehabilitation is set to provide assistance to a widow with five children after one of them was beaten by a woman who the child had been living with and – at just five-years-old – working for as a maid.",31,2
"Minister of Justice Koeut Rith has advised all judges to help coordinate and mediate between the parties involved in a dispute before rulings are issued. He noted, however, that this kind of coordination and reconciliation should not be applied to criminal cases.",9,1
"The Mondulkiri Provincial Court Prosecutor’s Office has summoned 12 Bunong indigenous people to testify in a case of alleged violence and destruction of property, which took place on November 17 last year.",3,0
Prime Minister Hun Sen has called for investors and businesspeople in Europe to seek out business and investment opportunities in untapped sectors in Cambodia as he declared the private sector an “engine of growth”.,40,6
"Since Convidecia – a Chinese-made single-dose vector viral vaccine for Covid-19 – was listed for emergency use by the World Health Organisation (WHO) on May 19, the Ministry of Health has not issued any announcement approving its use in Cambodia.",7,0
"The amount of toilet waste produced in Phnom Penh in 2001 was about 26,000 cubic metres, a figure which is estimated to grow to 330,000 in 2035, according to a study cited by municipal governor Khuong Sreng.",8,0
"Garment factory fire spreads to parking lot, torches 43 motorbikes",31,0
Health officials in Kampong Chhnang province called on the public who had been attacked by a dhole or dog to hurry up to get treatment at health centre rather than treating the wounds by themselves. They should also vaccinate against rabies immediately.,24,3
"Cambodia earned more than $1.502 billion from tax collection in the first four months of 2022, an increase of over $340 million or 29.36 per cent year-on-year, a feat observers believe reflects recovery and encouraging results from the government’s push started in early November towards the full resumption of socio-economic activities.",44,10
"Tourism industry players have welcomed the increase in domestic tourism as a key step towards restoring Cambodia’s embattled tourism sector back to pre-pandemic levels, but stressed that it was still necessary to find ways to attract international tourists due to their expected longer stays and higher spending power.",18,1
"Covid-19 may be scary, but it is not as frightening as another hidden danger that is killing more than 480,000 people every year, said Sim Srey Leap from Net Yang High School in Battambang province, who won the first prize in the “Measures to increase taxes on tobacco” public speaking contest.",4,1
Cambodia's wrestling team – who just set a new record by claiming gold at the 31st SEA Games in Vietnam – have reset their medal targets for next year’s events.,81,2
"Since its May 19 opening, the Angkor Botanical Gardens in Siem Reap province has attracted around 7,000 domestic and international visitors a day, according to the Apsara National Authority (ANA).",36,1
"In Opinion:
Perhaps there is no better way to look at the future trajectory of the relations between the US and ASEAN than through the prism of Vietnamese-US bilateral ties.",4,0
"The Cambodian Mine Action Centre (CMAC) has laid out long-term plans to demine 8,000ha of afflicted land in Battambang province.",15,2
"Cambodian sports delegates and athletes on May 24 returned to the Kingdom with the Southeast Asian Games (SEA Games) flag, prompting a warm welcome and scenes of national pride at Phnom Penh International Airport.",19,0
"The Kingdom’s agriculture sector will continue benefiting from Australia’s aid and assistance, thanks to the new A$87 million (US$61.6 million) Cambodia-Australia Partnership for Resilient Economic Development (CAP-RED).",27,6
Cambodia has declared its readiness to join relevant development partners to restore the socio-economic situation and promote prosperity at the 78th UN Economic and Social Commission for Asia and the Pacific (UN ESCAP) session in the Thai capital Bangkok.,17,0
"Cambodian workers living in the provinces along the Cambodian-Thai borders have been returning in droves to apply for border passes which grant them the right to legally work and do business in the neighbouring country, since the two nations agreed to reopen border checkpoints at the regional level on May 1.",9,0
"The Institut Pasteur du Cambodge (IPC) performed more than 600,000 rapid tests and PCR tests in 2021, the year in which Covid-19 reached its peak in Cambodia and many countries around the world.",6,1
"In recent years, several tragic construction site tragedies have occurred in Cambodia. To address the dangers and safety of worksites, the Australian embassy and the Ministry of Land Management, Urban Planning and Construction have jointly come up with a set of guidelines on Construction Workplace Health and Safety (WHS).",26,1
"The Ministry of Commerce has stressed the need to reduce or eliminate trade barriers through national, regional and global trade facilitation mechanisms as an important way to speed up economic recovery.",8,0
"The Mekong River Wonder project – in collaboration with the Inland Fisheries Research and Development Institute (IFREDI) – released a gigantic freshwater stingray back into the river, after it was caught by fishermen on May 22 in Koh Preah commune of Stung Treng province’s Siem Bok district.",98,9
The government will give all factory workers two days off to participate in the June 5 commune council elections. Owners of factories and manufacturing enterprises will be required to pay wages and other benefits as normal.,16,0
"Ten of the 17 political parties which are contesting the June 5 commune council elections signed a joint letter on May 24, promising to curb the effects of alcohol use – and promote young women entrepreneurs – if they are elected.",9,0
"Construction works on the new Siem Reap-Angkor International Airport continue to face delays due to logistics and supply chain issues stemming from the Covid-19 pandemic, as the project reaches a mere 27 per cent completion against a planned March 2023 opening.",25,1
"The Ministry of Post and Telecommunications on May 23 issued a statement expressing concerns about cyberattacks in the Kingdom, calling for greater vigilance to thwart the rise of hacking attacks aimed at the private sector.",1,0
The UN Office on Drug and Crimes’ (UNODC) Regional Office for Southeast Asia and the Pacific has launched a six-month public information campaign to help address key barriers to combating gender-based violence (GBV) in Cambodia.,7,0
"Prime Minister Hun Sen said sanctions against Russia as a result of its military offensive in Ukraine should be stopped as they have produced no tangible results, and predicted that a global food crisis would ensue in 2023 as a consequence.",10,0
"The export of fresh fisheries products in the first five months of 2022 reached nearly $39 million, a decrease of over 11 per cent year-on-year that the Fisheries Administration (FiA) has blamed on factors including climate change and illegal fishing.",20,0
"Public-listed special economic zone (SEZ) developer Phnom Penh SEZ Plc (PPSP) has reported a sharp increase in total revenue and lower net loss in the first quarter of 2022, a filing with Cambodia Securities Exchange (CSX) showed.",7,0
"Rice fortification is a key step in addressing nutritional issues in Cambodia, where a majority of the population eats a large portion of rice on a daily basis, said a senior official of the Council for Agricultural and Rural Development (CARD).",23,1
"In a report, WCS Cambodia said that in 2021, this species was considered under threat from illegal hunting and trafficking. Also last year, at least nine individuals were seen being traded online, and two were found dead through illegal fishing.",27,1
"Specialists in Indonesian-style wire-wrapped jewellery and “batik”, a traditional wax-resist dye method for creating designs and patterns on fabric, are looking to train Cambodians in their craft to promote cultural exchange and support the tourism sector.",20,2
"Cambodian athletes broke their own Southeast Asian Games (SEA Games) medal tally record after winning nine gold, 13 silver and 41 bronze medals at the 31st biennial regional sports event which wrapped up on May 23 in Hanoi, Vietnam.",62,5
"The Ministry of Public Works and Transport will sign a memorandum of understanding (MoU) with ACLEDA Bank and ABA Bank to facilitate the payment of public service fees via Port EDI, an electronic data exchange system.",9,1
Prime Minister Hun Sen said the “sluggishness” of the establishment of a Covid-19 vaccine manufacturing facility in Cambodia was due to the government not yet signing an agreement to purchase vaccines produced by the factory.,6,0
"Koh Kong-born Po Phearith, better known as Yen Dina, became the only member of his team to bring home gold medal in Kun Khmer Boxing at the SEA Games in Vietnam.",174,5
A Cambodian Mine Action Centre (CMAC) team is conducting an operation to retrieve unexploded ordnance (UXO) from a sunken warship in the Mekong River in Prey Veng province.,20,0
The Mekong River Commission (MRC) has begun training officials in each of its member countries to improve transparency and accountability. The new rules aim to reassure donors of the commission’s integrity.,6,0
"Minister of Interior Sar Kheng has instructed authorities at all levels to improve public services and solve problems for people in their jurisdictions, while vowing to get tough on law-breaking officials.",4,1
The Apsara National Authority (ANA) has officially published the first edition of a book titled Guardians of Angkor.,16,3
A landmine killed a man on May 22 while he was operating a power tiller to plough a rice field in Sro Em commune’s Stung Khieu Techo village of Preah Vihear province’s Choam Ksan district.,37,5
[Advertorial] Australia marks 70 years of supporting human development in the Kingdom,30,2
"The global rise in fuel prices caused by the Ukraine conflict has pushed shipping prices in Cambodia up by 15-20 per cent compared to April, transport industry insiders and exporters have said, causing production costs in the Kingdom to rise across the board as a result.",25,3
CPP files complaints against Candlelight Party in Pailin town,13,0
"A 14-year-old girl died in a house fire in Phnom Penh’s Meanchey district on May 23, while 14 homes in Kampong Speu province’s Phnom Sruoch district were badly damaged by a fire the previous day, according to local authorities.",9,0
The Ministry of Health on May 24 reported zero new Covid-19 cases and no new deaths.,2,0
"Prime Minister Hun Sen has urged countries to come together to maintain order, peace and ensure food security so that their people do not suffer, as he noted that the Ukraine conflict has hampered global socio-economic recovery.",8,0
"The Phnom Penh Municipal Court of Appeal on May 23 delivered a ruling in the cases of four ADHOC officials and one former official of the local rights group, upholding the lower court’s guilty verdict in all of their cases.",6,1
[Advertorial] Amret client success stories: Kampong Cham planter turns cassava trade into a lucrative business,35,5
"Health ministry secretary of state Or Vandine has assured that there are no suspected or positive cases of monkeypox in Cambodia so far, but asked that everyone continue ensuring personal hygiene and preventive measures.",31,1
"Cambodia exported 3,834.67 tonnes of peppercorns in the first four months of 2022, marking an uptick of 79.03 per cent year-on-year as industry insiders fret about production numbers due to unseasonal rains with gusty winds.",42,13
"Sitting under a soft light, a woman on a mobile phone screen holds a bunch of phony dollar bills as she confidently shout at both nobody and everybody at once about a skin-whitening lotion she’s trying to sell to her livestream viewers.",12,2
"The Phnom Penh Water Supply Authority (PPWSA) continues to request that people living in the centre of Phnom Penh use water sparingly to help reduce shortages in the western and southern suburbs, as around 40,000 families residing in villages in those areas do not have enough water to use.",18,1
OXFAM in Cambodia and the Laudes Foundation have launched an initiative to help the Cambodian government strengthen inclusive social protection for apparel industry employees.,7,0
The national Covid-19 vaccination committee will begin administering the fifth dose of Covid-19 vaccines from June 9.,4,1
"In Opinion:
The Asia-Pacific region is at a crossroads today – to further breakdown or breakthrough to a greener, better, safer future.",8,0
Cambodia's gymnasts broke a historic record after winning medals in the sport for the first time ever at the Southeast Asian Games (SEA Games).,48,3
"Bilateral trade between Cambodia and Malaysia was worth $205.2 million in the first four months of 2022, surging by over one-third from nearly $152.9 million from the corresponding period last year, according to Customs.",11,2
"National Police chief General Neth Savoeun, who also serves as president of the Volleyball Federation of Cambodia, hailed the efforts and achievements of the men’s indoor volleyball team after they won a historic bronze on May 21. It was the first such medal for the Kingdom since 1983.",70,1
"Cambodia and Myanmar are in the process of expediting negotiations on two important draft agreements in a bid to swiftly increase trade cooperation with each other, citing low bilateral trade volume.",9,0
"Prime Minister Hun Sen called on compatriots across the country to maintain peace while building society, family, community and the nation so that the genocidal Democratic Kampuchea regime led by the Khmer Rouge would not return.",17,0
"The Ministry of Justice has declared 2022 the year for “strengthening work discipline and ethics for officials in the judicial sector” in an attempt to overhaul its working processes, amid increasing concerns that the Cambodian judiciary is being bought over by business interests.",9,0
The Council for Agricultural and Rural Development (CARD) is working closely with relevant ministries and partners to develop the second National Strategy for Food Security and Nutrition (NSFSN) as part of efforts to reach the UN Sustainable Development Goals (SDGs).,28,3
"Prime Minister Hun Sen has said that the EU’s partial withdrawal of its “Everything But Arms” (EBA) scheme will not affect Cambodia's exports to the bloc, which have continued to grow steadily in spite of multiple crises, including Covid-19.",5,0
"The National Police’s anti-drug department is continuing its investigation after seizing over 60kg of chemical substances believed to be intended for the production of illegal drugs, at a mango plantation in Yeay Mao Pich Nil commune’s Srol village of Kampong Speu province’s Phnom Sruoch district on May 20.",15,2
The Ministry of Health on May 23 reported zero new Covid-19 cases and no new deaths.,4,0
"The number of children with severe wasting was on the rise even before the Ukraine conflict plunged the world further into a global food crisis, UNICEF has warned, noting that in Cambodia, 10 per cent of children are actively affected by severe malnutrition.",10,0
"Cambodia has joined the International Transport Forum (ITF) as the organisation’s 64th member country. Ministers of transport from the 63 current member states agreed to admit the Kingdom to the ITF on May 19 at their Summit in Leipzig, Germany.",25,2
"Prime Minister Hun Sen has revealed that Cambodia and Vietnam have agreed on roughly three-eighths of the remaining undemarcated borders between the two countries, in a varied speech to members of the Cambodian diaspora in Europe, in which he also discussed the upcoming commune council elections.",16,1
"Cambodia exported $1.57297 billion worth of agricultural products in the first four months of this year, according to the agriculture ministry on May 20.",42,3
"Regional tourism is grappling with the absence of the prolific travellers and big spenders – the Chinese tourists. Cambodia, which has welcomed over two million Chinese tourists before Covid-19, is reeling from the economic loss despite being the first to fully open last November",11,0
"Having spent five years as an environmental activist, Pheng Sreysor has proven her dedication to protecting Cambodia’s natural resources through volunteering and taking part in wildlife conservation missions since she was just a teenager.",42,1
"Founded in 2012 by Japanese entrepreneur Yusuke Asano, SuiJoh is a modern shop that designs high-quality custom apparel and accessories which are handmade by Cambodian tailors.",35,5
Wordsby2 – an iOS mobile game app by the education and technology company Apptessence – gives you a chance to enjoy yourself while helping others by supporting NGOs doing important work while vying for cash prizes.,20,1
The Ministry of Health on May 22 reported zero new Covid-19 cases and no new deaths.,6,0
"Pollution caused some 9 million people to die prematurely in 2019, according to a new global report published on May 18, with experts raising alarm over increasing deaths from breathing outside air and the “horrifying” toll of lead poisoning.",8,0
"Cambodia exported more than $300 million worth of bicycles to international markets in the first four months of 2022, an increase of 54 per cent year-on-year, according to latest figures from the Ministry of Commerce.",25,2
Metallic fragments of possible Angkorian religious container found,13,0
"More than 300 people took part in the fifth annual Crane Festival in Anlung Pring Protected Landscape in southeastern Kampot province on May 19, to build public support for the conservation of the “venerable” sarus crane and in observation of World Migratory Bird Day five days earlier",39,1
"Prime Minister Hun Sen, president of the Cambodian People’s Party (CPP), on May 21 issued a message calling on the public to vote for the ruling political party’s candidates in the June 5 commune council elections, highlighting the positive changes that have come from the current five-year mandate.",12,1
"The justice ministry has termed 2022 as the year for “strengthening work discipline and ethics for officials in the judicial sector”, in a purported bid to improve work effectiveness.",5,0
"The political parties contesting the June 5 commune council elections on May 21 officially kicked off the campaign season, ending June 3, presenting their policies and plans to the public to earn their support on polling day.",14,0
"DBD Engineering Plc, a local publicly-listed multi-purpose engineering and construction firm, reported a dip in revenues in the first quarter of this year due to “shrinking opportunities” in the construction and property markets.",20,1
No new Covid cases in Cambodia,10,0
"Health ministry, Seoul discuss maternal, child health projects in northeast Cambodia",12,0
James Speck – an award winning animator and designer who has worked on Hollywood films in the past – is bringing real-time motion capture to Cambodia in a unique format in collaboration with local dental and health professionals.,8,0
Alcohol ban on June 4-5 for elections,15,1
"Cambodia is expected to welcome one million international tourists and tally eight million domestic trips by end-2022, according to new estimates from the tourism ministry – which have been met with mixed reactions amongst industry experts, who warn that many global factors may cast a cloud on the optimistic projections.",61,4
Thirty critically endangered sea turtles hatch,7,0
The National Election Committee (NEC) has asked the apex law enforcement agency to work with it and ensure that legal action is taken against perceived fake news or incitement in the run-up to the June 5 commune council elections.,6,0
"Cambodia was ASEAN’s biggest exporter to China in January-March, the first quarter of the free trade agreement (FTA) between the two countries, according to Chinese trade officials.",22,4
"The Ministry of Education, Youth and Sports – in collaboration with partner organisations – has launched a campaign to push for the banning of advertisements and the sale of tobacco products at public and private educational institutions.",10,0
"The government, through the Ministry of Labour and Vocational Training, has announced the 81st payment for the nearly 2,500 workers whose employment remains suspended due to the Covid-19 crisis.",4,0
"With the June 5 commune council elections approaching, political parties are gearing up for the launch of their campaigns to drum up support.",7,0
"Prime Minister Hun Sen has permitted fifth-dose Covid-19 vaccinations for priority groups from June 9 onwards, with the dose interval set at a minimum of three months.",11,0
